                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.51057,                 1.0949,                 1.0417,                0.91884,                0.58159,                0.62243,                0.46137,                  1.287,                  1.923,                 1.2514,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 0.8105,                  1.505,                 1.2896,                0.91884,                0.58159,                0.62243,                0.46137,                  1.287,                  1.923,                 1.2514,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                  0.705,                 1.6816,                 1.1825,                0.91884,                0.58159,                0.62243,                0.46137,                  1.287,                  1.923,                 1.2514,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.58423,                  1.128,                 1.1301,                0.91687,                0.58647,                0.62285,                0.46213,                 1.3073,                 1.9033,                 1.2618,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.75278,                 1.3592,                 1.2542,                0.91687,                0.58647,                0.62285,                0.46213,                 1.3073,                 1.9033,                 1.2618,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.60205,                 1.1857,                 1.1498,                0.91687,                0.58647,                0.62285,                0.46213,                 1.3073,                 1.9033,                 1.2618,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.65905,                0.81064,                  1.081,                0.89081,                0.57036,                0.59557,                0.45652,                 1.3246,                 1.9369,                 1.2652,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.54807,                 1.0029,                0.99617,                0.89081,                0.57036,                0.59557,                0.45652,                 1.3246,                 1.9369,                 1.2652,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.70393,                 1.1416,                 1.2315,                0.89081,                0.57036,                0.59557,                0.45652,                 1.3246,                 1.9369,                 1.2652,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.39672,                0.80082,                  1.013,                0.90976,                0.58437,                0.62095,                0.46022,                 1.3464,                 1.9852,                 1.2637,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.46715,                 1.1032,                 1.0588,                0.90976,                0.58437,                0.62095,                0.46022,                 1.3464,                 1.9852,                 1.2637,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.59983,                 1.3879,                 1.1285,                0.90976,                0.58437,                0.62095,                0.46022,                 1.3464,                 1.9852,                 1.2637,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.62227,                 1.0886,                 1.0341,                0.89722,                0.58075,                0.61693,                 0.4589,                 1.3432,                 2.0093,                 1.2548,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.52003,                0.82055,                0.97993,                0.89722,                0.58075,                0.61693,                 0.4589,                 1.3432,                 2.0093,                 1.2548,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                0.69523,                0.93677,                 1.0513,                0.89722,                0.58075,                0.61693,                 0.4589,                 1.3432,                 2.0093,                 1.2548,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.60361,                0.96919,                 1.0995,                0.89485,                0.57313,                0.61687,                0.46195,                 1.3577,                 2.0263,                  1.265,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.73688,                 1.1777,                 1.1611,                0.89485,                0.57313,                0.61687,                0.46195,                 1.3577,                 2.0263,                  1.265,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                0.55393,                 1.1008,                  1.092,                0.89485,                0.57313,                0.61687,                0.46195,                 1.3577,                 2.0263,                  1.265,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.54824,                0.96487,                 1.0458,                0.85777,                0.56289,                0.61213,                0.46239,                 1.3761,                 2.0697,                 1.2688,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.49609,                0.96161,                 1.0375,                0.85777,                0.56289,                0.61213,                0.46239,                 1.3761,                 2.0697,                 1.2688,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.34632,                0.75171,                0.95544,                0.85777,                0.56289,                0.61213,                0.46239,                 1.3761,                 2.0697,                 1.2688,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.68017,                 1.2488,                 1.1986,                0.79556,                0.54271,                0.59224,                0.47501,                 1.3749,                 2.1311,                 1.2719,             2.3547e-05,             2.3547e-05,             2.3547e-05
